bikes_4100_14760_5.csvriga;nome attributo;valore da imputare;valore imputato
2904;mileage;35.0;?
3901;kms_driven;7580;?
2258;power;67.2;?
4015;price;21101;?
1261;model;YZF-R15;?
701;model;RC;?
3542;model;Classic;?
1778;company;Royal-Enfield;Royal-Enfield
2401;company;Hero;Royal-Enfield
3099;owner;first;first
1583;power;26.1;?
3615;power;19.0;?
1459;kms_driven;7000;?
4001;price;75000;?
63;model;Classic;?
1279;model;Classic;?
1077;kms_driven;11786;?
3970;kms_driven;38000;?
2461;kms_driven;25000;?
3648;kms_driven;31800;?
2831;company;Hero;Bajaj
1566;mileage;85.0;?
3640;location;bangalore;?
2268;owner;first;first
1305;mileage;32.0;?
2019;power;27.2;?
1103;kms_driven;10000;?
900;location;mumbai;?
1243;kms_driven;42000;?
443;kms_driven;7896;?
2200;mileage;38.0;?
1452;model_year;2019;2019
804;power;13.0;?
1409;kms_driven;15999;?
3245;company;Royal-Enfield;?
2271;power;9.0;?
1846;location;delhi;?
435;model_year;2013;2015
1627;model;Thunderbird;?
3518;mileage;20.0;?
2936;price;55000;?
2933;kms_driven;29000;?
791;price;88187;?
3678;power;7.5;?
2769;power;16.8;?
3773;kms_driven;74073;?
415;price;75000;?
1183;model;Dream;?
1581;kms_driven;68000;?
3129;price;124400;?
2384;location;hyderabad;?
3687;location;tiruvallur;?
720;model_year;2006;2018
2304;location;jaipur;?
3382;power;24.5;?
2095;model_year;2016;2016
643;owner;first;first
2076;price;35000;?
1587;company;Harley-Davidson;KTM
3943;location;delhi;?
2606;mileage;25.0;?
2844;power;8.1;?
3145;kms_driven;28547;?
368;company;Yamaha;?
3475;location;hyderabad;?
3992;price;17000;?
1446;company;KTM;?
2429;kms_driven;6000;?
3223;price;187000;?
680;company;Royal-Enfield;Royal-Enfield
548;model;Pulsar;?
3738;owner;second;first
1428;company;Royal-Enfield;Harley-Davidson
614;price;54000;?
3090;mileage;40.0;?
1292;model_year;2012;2012
1562;power;19.8;8.2
2942;owner;first;first
561;location;delhi;?
3701;mileage;35.0;?
795;power;42.9;?
1353;owner;first;first
2828;company;Hero;Royal-Enfield
2404;power;19.8;?
744;power;8.2;?
3669;model;Classic;?
364;owner;first;first
1415;location;kolkata;?
858;kms_driven;16457;?
987;owner;first;first
3388;owner;first;first
3415;mileage;18.0;?
3150;owner;first;first
52;kms_driven;1600;?
3187;location;chandigarh;?
3568;power;27.2;27.2
2987;company;Bajaj;?
309;location;pune;?
1783;model;CBZ;?
155;location;delhi;?
2670;company;Bajaj;?
1320;price;110000;?
3336;model;Karizma;?
1505;model;HF;?
1485;model_year;2017;2015
2276;company;Bajaj;Harley-Davidson
931;model_year;2017;?
1694;power;19.8;?
2469;model;Passion;?
3405;model;Classic;?
2313;price;35000;?
3476;power;19.0;?
2752;owner;first;first
4098;price;61740;?
823;mileage;5.0;?
42;model_year;2017;?
2105;model_year;2018;2018
2544;mileage;63.0;?
2496;kms_driven;23299;?
2203;power;19.8;?
2785;model_year;2018;?
1939;kms_driven;28000;?
2715;price;181000;?
3319;company;Hero;Hero
297;mileage;35.0;?
1920;power;14.6;?
3310;kms_driven;19000;?
3755;price;120000;?
2046;company;Yamaha;KTM
376;price;98000;?
1653;owner;first;first
3278;model_year;2018;2016
325;mileage;32.0;?
893;power;8.2;?
3029;price;97000;?
623;company;Bajaj;Harley-Davidson
1193;company;Bajaj;?
2657;mileage;35.0;?
846;company;Yamaha;?
2212;owner;first;first
754;price;55000;?
3871;model_year;2016;?
206;model_year;2016;?
886;kms_driven;22000;?
2651;owner;first;first
3673;price;26000;?
1965;company;Bajaj;?
2642;price;110000;?
3888;company;Mahindra;Hero
3080;mileage;40.0;?
2231;model_year;2016;2016
1077;power;19.8;28.0
834;model;Classic;?
3940;kms_driven;15820;?
2766;location;delhi;?
532;model_year;2017;2015
3375;kms_driven;15047;?
2584;model_year;2018;2018
3074;kms_driven;43000;?
2081;power;29.1;?
407;kms_driven;30000;?
961;price;141000;?
2669;model;Classic;?
1550;kms_driven;22000;?
3235;mileage;65.0;?
2769;model_year;2015;2016
814;owner;first;first
2729;model_year;2018;2015
3273;model_year;2016;?
2887;owner;second;first
1063;power;28.0;?
1964;model_year;2018;2016
2338;owner;third;first
3195;company;Harley-Davidson;?
1804;location;delhi;?
3935;owner;second;first
905;price;14000;?
4033;power;12.32;?
391;owner;first;first
1985;company;Bajaj;Harley-Davidson
2331;price;75000;?
1950;model_year;2014;2018
832;company;KTM;KTM
2725;kms_driven;52000;?
1684;owner;first;first
3736;kms_driven;6050;?
2812;company;UM;?
2969;kms_driven;59000;?
714;kms_driven;25000;?
1666;kms_driven;4000;?
1772;location;mumbai;?
2924;model;TNT;?
2641;mileage;35.0;?
2633;model_year;2017;?
278;kms_driven;78000;?
1998;power;19.8;?
3939;model;Splendor;?
2806;kms_driven;12000;?
3982;power;17.0;17.0
2984;company;Royal-Enfield;?
1496;kms_driven;58000;?
3088;company;Royal-Enfield;Harley-Davidson
775;location;chandigarh;?
3021;mileage;35.0;?
574;model;Thunderbird;?
3080;company;Royal-Enfield;Bajaj
1954;company;Royal-Enfield;Harley-Davidson
2165;location;delhi;?
440;company;Yamaha;?
2403;location;hyderabad;?
4068;kms_driven;20000;?
801;company;Hero;Bajaj
2215;mileage;32.0;?
57;company;Hero;?
262;mileage;53.0;?
695;location;gurgaon;?
3102;mileage;40.0;?
2686;price;35000;?
3735;power;19.8;8.2
3102;power;19.8;?
2448;model;Thunderbird;?
2357;owner;first;first
3358;kms_driven;6384;?
2007;price;24000;?
3215;model_year;2007;2014
142;company;Royal-Enfield;Royal-Enfield
3315;company;Harley-Davidson;?
271;mileage;38.0;?
281;power;12.9;?
3709;model_year;2009;2012
1401;model;Gixxer;?
633;mileage;25.0;?
2992;company;Hero;Yamaha
1846;company;Yamaha;?
941;price;153000;?
483;model_year;2014;2015
2303;power;11.8;?
2590;power;19.8;?
2052;kms_driven;35000;?
3682;power;47.0;?
3338;owner;first;first
2702;mileage;81.0;?
3148;mileage;60.0;?
3409;owner;first;first
3827;owner;third;first
744;mileage;55.0;?
1325;company;Royal-Enfield;?
644;owner;first;first
3664;power;12.32;?
325;power;27.2;?
3604;location;bangalore;?
3198;power;19.8;?
2122;owner;first;first
2366;company;Bajaj;Hero
163;kms_driven;22000;?
3979;mileage;35.0;?
3335;kms_driven;6000;?
1655;mileage;58.0;?
598;location;bangalore;?
3772;model;Standard;?
1702;owner;first;first
66;kms_driven;26300;?
718;power;19.8;?
1743;model;Classic;?
2748;kms_driven;29305;?
1285;mileage;53.0;?
898;power;19.8;?
2755;company;Royal-Enfield;Royal-Enfield
2980;price;85000;?
1295;company;Bajaj;Royal-Enfield
1950;power;19.8;?
1617;model_year;2016;2019
91;owner;first;first
1573;model_year;2018;?
2765;power;27.2;?
740;owner;first;first
1836;company;Bajaj;Royal-Enfield
2516;company;Bajaj;?
380;company;Yamaha;?
1863;owner;first;first
3208;mileage;55.0;?
127;model;Apache;?
2812;price;120000;?
2824;owner;first;first
656;mileage;62.0;?
298;price;200000;?
2079;kms_driven;26000;?
3125;company;Suzuki;?
1634;price;81000;?
124;owner;first;first
2090;mileage;35.0;?
3492;company;Bajaj;?
1328;price;180000;?
3737;model;Thunderbird;?
3077;model;Classic;?
1312;mileage;40.0;?
476;model;CB;?
1180;owner;second;first
3197;model_year;2014;2015
751;company;Hero;Hero
1132;mileage;40.0;?
1876;mileage;40.0;?
1848;location;ludhiana;?
2426;power;19.8;8.2
1843;mileage;83.0;?
2213;model;Street;?
1675;model;Duke;?
1618;owner;first;first
825;kms_driven;20000;?
2518;kms_driven;40000;?
3137;location;delhi;?
2714;mileage;35.0;?
2460;model;Pulsar;?
3612;owner;first;first
3159;mileage;22.0;?
559;owner;first;first
1838;kms_driven;11500;?
3638;model;Duke;?
2661;power;27.2;?
2409;location;jaipur;?
3122;power;8.2;?
1565;mileage;25.0;?
3175;power;8.2;?
2555;power;19.8;?
2367;company;Bajaj;Royal-Enfield
963;location;jaipur;?
3958;model_year;2014;2014
2110;mileage;30.0;?
1256;kms_driven;24857;?
142;model;Classic;?
3515;location;jaipur;?
1446;model;Duke;?
1251;kms_driven;50183;?
3268;power;42.3;42.3
2954;price;99999;?
2797;company;Bajaj;Bajaj
1740;kms_driven;59000;?
3236;location;patna;?
3063;location;mumbai;?
3595;price;51000;?
3235;power;13.8;?
1143;price;33200;?
2798;model_year;2011;2009
2387;power;8.9;8.17
2158;mileage;32.0;?
1009;price;32000;?
564;mileage;40.0;?
15;price;190000;?
3738;mileage;20.0;?
134;location;hyderabad;?
935;company;Royal-Enfield;Royal-Enfield
164;kms_driven;16000;?
1418;power;24.8;?
1219;mileage;35.0;?
3392;company;Bajaj;Harley-Davidson
2052;location;ahmedabad;?
2352;owner;first;first
2813;company;Yamaha;Royal-Enfield
3845;model;YZF-R15;?
2012;model_year;2013;2018
2399;mileage;35.0;?
3273;company;KTM;?
2474;price;85000;?
986;mileage;65.0;?
75;owner;first;first
1508;location;pune;?
3675;mileage;25.0;?
2594;owner;first;first
2304;company;Honda;?
1774;price;68000;?
2306;model;Classic;?
2608;price;135000;?
1530;company;Benelli;?
3484;price;90000;?
2796;location;delhi;?
2377;model_year;2015;2016
1277;mileage;40.0;?
3967;kms_driven;21000;?
893;location;delhi;?
3449;model;Sport;?
2441;kms_driven;14000;?
165;model;Gixxer;?
3218;model_year;2015;2016
3254;model_year;2017;?
2346;power;19.8;?
455;company;Hero;?
1731;model_year;2020;2021
4057;company;Hero;Harley-Davidson
3990;company;Royal-Enfield;?
2741;kms_driven;30000;?
2856;power;18.28;8.2
3150;price;17000;?
1347;power;18.28;?
3719;company;Hero;Hero
915;power;18.28;?
3698;power;26.21;?
1117;kms_driven;21200;?
184;mileage;35.0;?
3852;mileage;40.0;?
2777;model_year;2010;2016
2067;kms_driven;2500;?
710;model_year;2014;?
3838;owner;first;first
2370;model;Karizma;?
714;model;Duke;?
3217;kms_driven;49000;?
2622;model;Karizma;?
1114;owner;first;first
3062;company;Royal-Enfield;?
464;power;19.8;8.2
3073;location;mumbai;?
2449;power;11.8;?
2174;power;47.0;39.0
3968;mileage;35.0;?
1500;kms_driven;17000;?
2511;price;125000;?
2449;price;60000;?
1342;company;Royal-Enfield;Harley-Davidson
3017;power;27.2;?
1556;mileage;35.0;?
3437;power;8.17;?
1186;power;14.6;?
4059;power;8.2;?
2292;kms_driven;28000;?
4016;power;19.8;?
3728;price;170000;?
2014;power;12.32;?
1847;company;Hero;KTM
1903;power;19.8;19.8
4077;model;CBZ;?
1725;model;Street;?
441;company;KTM;Royal-Enfield
1222;company;Royal-Enfield;?
2608;mileage;32.0;?
1024;kms_driven;26500;?
1732;company;Yamaha;?
2967;owner;first;first
130;mileage;40.0;?
2923;location;gurgaon;?
1849;kms_driven;2000;?
3061;location;bangalore;?
96;location;bangalore;?
3016;kms_driven;60055;?
3128;location;hyderabad;?
1062;price;190000;?
1757;mileage;32.0;?
2906;model;Himalayan;?
2391;company;Bajaj;?
772;price;105000;?
2388;kms_driven;8100;?
3696;model_year;2017;2018
2430;model;Bullet;?
1699;price;120000;?
109;location;chandigarh;?
1345;kms_driven;15000;?
1264;kms_driven;33700;?
430;model_year;2020;?
508;kms_driven;41000;?
2791;kms_driven;44000;?
2521;model_year;2014;2016
3579;price;155000;?
2394;kms_driven;6000;?
2954;mileage;40.0;?
3066;model;V15;?
319;location;jaipur;?
598;company;Bajaj;Harley-Davidson
2374;location;hyderabad;?
2109;price;145250;?
3739;mileage;35.0;?
1120;model_year;2009;2017
2088;location;hyderabad;?
1827;location;delhi;?
3014;kms_driven;4350;?
3654;company;Royal-Enfield;?
3323;model;Star;?
3326;price;79650;?
3616;location;indore;?
3353;mileage;25.0;?
2077;location;bangalore;?
2232;mileage;65.0;?
3190;power;26.0;?
3247;model;Pulsar;?
1189;location;delhi;?
1918;price;150000;?
430;owner;second;first
101;owner;second;first
3001;kms_driven;7000;?
2245;location;mumbai;?
2274;model;Splendor;?
206;mileage;35.0;?
1455;kms_driven;10283;?
1797;power;19.8;?
421;price;125000;?
4071;company;KTM;KTM
480;model;Bullet;?
2701;company;Bajaj;?
1068;kms_driven;38000;?
1365;model_year;2016;2009
3991;kms_driven;16254;?
2979;model_year;2009;2017
1438;price;27000;?
557;company;Royal-Enfield;?
2199;owner;first;first
3023;location;delhi;?
1047;model_year;2020;2019
3618;price;68000;?
2123;model;Z650;?
1561;model;Classic;?
936;company;Yamaha;Royal-Enfield
212;price;103000;?
769;power;21.0;?
1103;company;Royal-Enfield;Royal-Enfield
574;location;mumbai;?
2480;location;bangalore;?
3091;model;Karizma;?
4049;model_year;2018;2017
3760;price;125000;?
2497;location;delhi;?
2106;kms_driven;7000;?
2623;owner;first;first
1303;owner;first;first
119;price;162000;?
2909;price;389100;?
108;model_year;2020;?
3371;model_year;2014;2016
3230;price;50000;?
3812;location;delhi;?
292;model;Classic;?
3150;location;gurgaon;?
3;power;28.0;37.73
2969;location;gautam buddha nagar;?
508;owner;first;first
2940;mileage;35.0;?
1976;model;Classic;?
89;model;Bullet;?
1279;mileage;35.0;?
694;price;45000;?
3012;model;Classic;?
2277;owner;first;first
3533;price;140000;?
131;price;38000;?
3219;price;105000;?
3197;power;19.8;?
3250;location;kolkata;?
1594;model_year;2012;?
600;power;20.3;?
2376;location;jaipur;?
3607;model;Himalayan;?
638;model_year;2020;2018
1936;model_year;2020;2019
416;owner;first;first
974;location;mumbai;?
1798;power;19.8;8.2
42;model;Splendor;?
3574;company;Bajaj;?
3470;price;127300;?
3535;model_year;2017;2021
972;kms_driven;3000;?
2735;kms_driven;7483;?
3716;company;Royal-Enfield;Harley-Davidson
298;location;delhi;?
3330;price;95000;?
2450;mileage;40.0;?
148;location;rajkot;?
2268;mileage;35.0;?
2170;price;67500;?
1217;mileage;12.0;?
409;kms_driven;40000;?
2608;power;27.2;?
2434;kms_driven;3000;?
1362;power;24.8;?
239;price;135000;?
221;price;25000;?
1550;owner;first;first
352;company;Royal-Enfield;?
445;owner;first;first
3605;location;chennai;?
997;power;17.0;?
2952;owner;first;first
120;location;delhi;?
2960;power;27.2;?
3523;owner;first;first
956;kms_driven;20000;?
593;kms_driven;4;?
1044;price;49000;?
1522;owner;second;first
927;kms_driven;20000;?
1949;owner;first;first
3203;mileage;45.0;?
581;company;Bajaj;?
1906;company;Benelli;?
3081;model_year;2016;?
1791;company;Yamaha;?
1725;owner;first;first
302;power;33.0;?
870;model;Splendor;?
3820;model_year;2014;2016
3882;location;chennai;?
3087;location;gurgaon;?
96;model;Renegade;?
1040;company;Yamaha;?
1306;company;KTM;KTM
746;location;pune;?
3278;model;Duke;?
1501;model;Electra;?
1749;model_year;2008;2014
696;mileage;25.0;?
3975;owner;first;first
3553;location;faridabad;?
2043;price;114700;?
128;power;14.6;?
2121;power;8.2;?
33;kms_driven;15000;?
2825;location;hyderabad;?
2643;model_year;2015;2016
1524;company;Suzuki;?
2137;company;Benelli;TVS
682;model_year;2013;2017
3344;model;Pulsar;?
3415;company;Harley-Davidson;?
1732;mileage;43.0;?
543;model_year;2016;?
1343;price;85000;?
8;model;Himalayan;?
2694;location;bangalore;?
322;model_year;2016;?
3581;mileage;35.0;?
3469;mileage;38.0;?
2537;company;Royal-Enfield;?
2534;model;Splendor;?
2488;owner;first;first
737;mileage;25.0;?
3993;price;32000;?
1062;kms_driven;19563;?
358;owner;first;first
2816;model_year;2011;2015
212;owner;fourth;first
1916;kms_driven;15000;?
3615;location;mumbai;?
569;power;8.2;?
3042;model_year;2012;2015
3401;company;Honda;Harley-Davidson
1211;price;135000;?
3109;price;48000;?
3747;kms_driven;6200;?
285;model_year;2017;2016
3936;owner;first;first
1171;owner;first;first
1133;price;115000;?
331;model;Classic;?
809;mileage;35.0;?
1711;price;26000;?
3178;owner;first;first
3677;kms_driven;7400;?
3832;price;306000;?
3349;model;CBR;?
2036;company;KTM;?
1252;kms_driven;5520;?
863;location;gurgaon;?
3856;company;Royal-Enfield;Harley-Davidson
1355;power;19.8;?
1416;kms_driven;23431;?
985;model_year;2005;2014
3691;power;33.0;?
1769;mileage;63.0;?
2712;mileage;32.0;?
1400;model_year;2020;?
78;power;19.8;?
453;location;mumbai;?
2788;kms_driven;8500;?
3738;company;Harley-Davidson;Kawasaki
882;model;Discover;?
3324;price;70000;?
3760;company;UM;?
658;kms_driven;48853;?
3228;model_year;2013;?
445;model;Pulsar;?
2115;mileage;35.0;?
1091;price;130000;?
518;price;44000;?
3028;location;ahmedabad;?
726;model_year;2014;2015
2529;model_year;2015;2016
643;mileage;63.0;?
793;location;chandigarh;?
142;location;chandigarh;?
4010;company;Bajaj;Royal-Enfield
3225;company;Bajaj;Harley-Davidson
2437;model;Street;?
246;kms_driven;32000;?
3673;model;Passion;?
3972;location;patna;?
1021;location;delhi;?
3957;location;pune;?
1287;model;Bullet;?
3716;power;19.8;?
1710;company;Hyosung;?
649;company;Bajaj;Bajaj
2706;mileage;5.0;?
3994;power;9.0;?
1105;owner;first;first
1285;model;Avenger;?
3505;mileage;20.0;?
1648;power;19.8;?
499;owner;first;first
2112;company;Yamaha;TVS
3404;location;chennai;?
232;power;14.3;?
4040;model_year;2012;?
3633;power;11.8;?
1805;location;mumbai;?
3374;model_year;2010;2017
510;mileage;65.0;?
2363;price;57062;?
1432;price;51700;?
269;model_year;2008;?
3530;price;180000;?
3188;kms_driven;30000;?
1200;power;25.0;?
3026;model;Pulsar;?
1181;owner;first;first
3495;kms_driven;2000;?
503;location;delhi;?
377;power;17.0;?
1969;model_year;2018;2017
1100;model;Splendor;?
1677;model_year;2015;?
3318;owner;first;first
1962;location;delhi;?
1610;owner;first;first
2388;mileage;40.0;?
1868;location;bangalore;?
1667;price;42400;?
333;kms_driven;60000;?
2641;model;Duke;?
1040;kms_driven;13000;?
3438;mileage;40.0;?
2603;model_year;2017;2016
1601;power;24.6;?
3320;model;Himalayan;?
3109;model;Gixxer;?
2643;owner;first;first
3045;owner;first;first
2325;owner;first;first
2720;model;Thunderbird;?
348;kms_driven;71000;?
1421;model;V15;?
1786;owner;second;first
3560;kms_driven;18100;?
1899;kms_driven;5600;?
1876;kms_driven;10000;?
3393;model;YZF-R15;?
3857;model;Karizma;?
2888;mileage;30.0;?
2786;location;kolkata;?
3267;model_year;2016;2016
2010;location;bangalore;?
2616;model;Classic;?
3789;model;Ninja;?
1757;kms_driven;39980;?
344;kms_driven;21500;?
4023;model_year;2015;2016
2165;price;32000;?
197;mileage;38.0;?
526;model;Sport;?
2047;model;CBZ;?
847;owner;first;first
2255;power;15.0;?
3575;owner;first;first
1424;kms_driven;50000;?
32;mileage;35.0;?
3046;price;140000;?
995;owner;first;first
3317;location;bangalore;?
3845;model_year;2011;2016
1319;power;33.0;?
1195;mileage;55.0;?
3603;company;Royal-Enfield;Harley-Davidson
2074;price;91000;?
3407;location;kolkata;?
1028;price;127500;?
2108;location;mumbai;?
1167;owner;first;first
288;model_year;2016;2014
2803;owner;first;first
962;location;chandigarh;?
662;model;Pulsar;?
552;model_year;2018;2016
2723;model;Duke;?
2745;mileage;63.0;?
842;kms_driven;32000;?
1192;kms_driven;20000;?
3000;price;80000;?
4018;location;bangalore;?
2635;company;Royal-Enfield;?
96;owner;first;first
3528;company;Bajaj;Royal-Enfield
3632;kms_driven;3400;?
540;price;152000;?
1789;model_year;2018;2018
847;kms_driven;45000;?
3409;model;Classic;?
1053;company;Bajaj;Royal-Enfield
1021;company;Yamaha;?
1420;mileage;45.0;?
3948;model;YZF-R15;?
2176;kms_driven;26000;?
3871;mileage;32.0;?
1256;mileage;25.0;?
3908;price;35400;?
374;owner;first;first
1642;mileage;38.0;?
325;price;110000;?
2592;model;FZs;?
2388;model;Thunderbird;?
345;owner;first;first
2168;power;8.2;8.2
1701;model;Pulsar;?
73;price;70000;?
2649;model;FZs;?
3739;company;KTM;?
1130;power;19.8;?
530;owner;first;first
3912;model_year;2014;2016
4046;owner;first;first
882;model_year;2013;2018
3184;location;mumbai;?
3050;power;19.8;?
3629;model;Discover;?
3547;location;kalyan;?
3013;model_year;2015;?
2833;company;TVS;Hero
2080;model;Avenger;?
1525;company;Royal-Enfield;Yamaha
1955;mileage;26.0;?
3820;owner;first;first
2001;kms_driven;33596;?
937;mileage;84.0;?
2659;location;delhi;?
3482;company;KTM;?
264;mileage;65.0;?
2475;location;gurgaon;?
2884;location;gurgaon;?
924;price;110317;?
3934;model;Avenger;?
2038;location;delhi;?
1950;model;Classic;?
3346;model;RC;?
875;owner;fourth;first
1834;price;43000;?
1532;owner;first;first
890;model_year;2019;?
2299;kms_driven;16000;?
133;location;hyderabad;?
620;price;15000;?
107;mileage;57.0;?
2001;location;delhi;?
805;kms_driven;16000;?
3691;price;190000;?
1036;power;25.1;?
620;model_year;2009;?
4015;company;Hero;?
2712;kms_driven;2000;?
4001;mileage;42.0;?
3643;mileage;40.0;?
2112;kms_driven;11000;?
3108;mileage;35.0;?
647;model;Thunderbird;?
638;company;Bajaj;?
2075;mileage;20.0;?
3089;mileage;65.0;?
3633;company;Bajaj;?
1280;owner;first;first
3010;model_year;2011;2017
2849;owner;first;first
1232;model;Classic;?
452;owner;first;first
2830;kms_driven;10000;?
519;company;Royal-Enfield;Royal-Enfield
2120;location;mumbai;?
2868;price;83000;?
2342;model_year;2015;?
1376;location;indore;?
1145;company;Royal-Enfield;Royal-Enfield
2083;mileage;35.0;?
2188;company;Royal-Enfield;?
3896;model_year;2015;?
487;location;delhi;?
2710;model;Centuro;?
3147;kms_driven;11776;?
1908;location;bangalore;?
2086;model_year;2016;2017
2236;power;70.0;70.0
1454;price;166000;?
1547;model_year;2021;2016
1344;model;Avenger;?
3018;company;Royal-Enfield;Bajaj
2416;mileage;42.0;?
75;price;98500;?
2149;location;kolkata;?
2171;kms_driven;1400;?
3183;owner;first;first
688;location;bangalore;?
2334;model;Bullet;?
717;company;Hero;Hero
2571;price;52000;?
1988;kms_driven;13000;?
912;mileage;40.0;?
283;price;19900;?
499;model;Classic;?
236;location;bangalore;?
2990;price;70000;?
1522;power;13.8;?
3423;power;24.5;?
3891;model;Passion;?
203;model;Classic;?
1535;mileage;42.5;?
2885;mileage;20.0;?
1880;owner;first;first
1335;power;19.8;19.8
1836;location;delhi;?
2481;kms_driven;24950;?
2943;model_year;2017;?
2715;model_year;2017;?
1888;company;Royal-Enfield;?
838;kms_driven;11000;?
2480;power;27.2;?
2045;model;Classic;?
1760;price;181562;?
654;power;21.0;?
2773;location;ludhiana;?
2967;location;delhi;?
297;owner;first;first
1391;owner;first;first
1229;kms_driven;8500;?
634;mileage;53.0;?
2474;location;mumbai;?
3711;price;62700;?
646;mileage;29.0;?
1863;company;Royal-Enfield;?
3320;company;Royal-Enfield;?
3896;power;8.5;?
1630;kms_driven;35000;?
3576;location;tiruvallur;?
3529;location;delhi;?
2455;power;16.7;?
144;location;gurgaon;?
2071;location;gurgaon;?
509;location;bangalore;?
406;location;bangalore;?
1436;mileage;63.0;?
3648;location;gurgaon;?
1224;model;Classic;?
1799;model_year;2016;2016
1939;model;Classic;?
582;kms_driven;19060;?
48;kms_driven;27000;?
2233;model;Continental;?
43;company;Hero;Bajaj
2212;price;24304;?
3172;price;210000;?
2293;power;15.3;8.2
1400;kms_driven;208;?
873;kms_driven;55333;?
933;model_year;2018;2018
2690;kms_driven;32542;?
1482;location;bangalore;?
1873;power;14.6;8.2
2602;model;Gixxer;?
2777;mileage;48.0;?
3713;model;HF;?
675;kms_driven;9590;?
1539;price;80000;?
1848;power;7.7;?
2163;company;KTM;Royal-Enfield
3600;model_year;2016;?
1280;mileage;35.0;?
4060;mileage;55.0;?
3104;price;63000;?
230;kms_driven;12000;?
3525;price;70000;?
2869;power;11.8;?
3532;owner;first;first
3862;mileage;63.0;?
909;power;27.2;?
1505;power;7.7;?
2031;company;Royal-Enfield;?
2018;owner;first;first
613;owner;first;first
3759;mileage;40.0;?
1684;kms_driven;27994;?
1426;owner;first;first
3511;company;Benelli;KTM
1086;owner;first;first
1664;owner;first;first
1164;owner;first;first
3475;kms_driven;14000;?
434;model;Pulsar;?
1110;model;YZF-R15;?
2588;company;Royal-Enfield;Royal-Enfield
1231;owner;first;first
2139;model;Street;?
3837;model_year;2017;?
3176;power;7.7;?
3406;power;82.7;?
2250;location;hyderabad;?
1734;price;45000;?
2299;power;18.28;?
1675;company;KTM;?
3242;kms_driven;11000;?
3544;kms_driven;5399;?
3091;company;Hero;?
621;model;Pulsar;?
3239;model;RC;?
2460;kms_driven;17000;?
3959;price;53000;?
3485;location;pune;?
1334;company;Yamaha;Royal-Enfield
3466;model_year;2016;?
341;model_year;2014;2016
2918;price;90500;?
212;power;33.0;?
2001;model;HF;?
1918;model_year;2017;?
3857;company;Hero;Harley-Davidson
676;owner;first;first
598;model_year;2017;2017
4048;owner;first;first
806;kms_driven;81315;?
1875;power;19.0;?
3393;price;48000;?
1218;power;18.1;19.8
2420;model_year;2014;2018
748;kms_driven;12700;?
3925;location;hyderabad;?
1210;company;Suzuki;?
2996;model_year;2017;2017
1571;kms_driven;28000;?
2214;kms_driven;14800;?
1416;model_year;2017;2019
3361;model_year;2007;2016
2877;power;21.0;?
3749;mileage;65.0;?
2102;model_year;2020;2020
363;price;48000;?
3774;owner;second;first
4037;company;Hero;Royal-Enfield
3491;company;Bajaj;Harley-Davidson
2980;company;Hero;?
959;price;103200;?
4008;model;Thunderbird;?
4018;mileage;38.0;?
1741;power;8.2;8.2
3120;location;faridabad;?
2408;price;24958;?
3689;power;24.8;?
1262;kms_driven;16000;?
3249;model_year;2017;2016
2706;price;34000;?
1433;owner;second;first
3846;kms_driven;17000;?
595;mileage;55.0;?
3712;kms_driven;6800;?
2221;power;13.0;?
3150;mileage;53.0;?
514;power;9.0;?
1096;company;Royal-Enfield;?
2458;company;Royal-Enfield;Royal-Enfield
2170;kms_driven;16300;?
748;mileage;75.0;?
644;power;8.9;?
1507;power;14.79;?
1265;mileage;42.0;?
744;model_year;2019;2016
2630;power;16.8;?
3059;location;bangalore;?
2340;location;mumbai;?
1375;company;Royal-Enfield;Royal-Enfield
1049;price;56600;?
2662;owner;first;first
163;company;Bajaj;Royal-Enfield
3882;owner;first;first
2245;owner;first;first
3436;power;24.8;?
2874;model;V12;?
3871;company;Royal-Enfield;?
2789;company;Hero;Hero
3503;owner;first;first
3930;mileage;64.0;?
1352;model_year;2017;2018
968;company;Royal-Enfield;?
1097;power;21.0;?
3550;kms_driven;5000;?
40;kms_driven;60000;?
1549;model;YZF-R3;?
2886;model;Ninja;?
3263;mileage;35.0;?
2041;model_year;2017;2018
2994;mileage;40.0;?
994;owner;first;first
3574;price;70000;?
1852;mileage;35.0;?
1627;mileage;25.0;?
3096;company;KTM;?
1780;location;jaipur;?
2700;kms_driven;23000;?
670;model_year;2015;2017
1488;mileage;65.0;?
12;company;Royal-Enfield;Royal-Enfield
452;price;64000;?
1753;power;9.0;?
968;price;97100;?
2721;model_year;2014;?
3490;owner;first;first
730;company;Bajaj;Hero
238;power;19.8;?
195;model;Classic;?
167;kms_driven;45990;?
899;owner;first;first
2658;location;navi mumbai;?
3400;model_year;2006;2010
234;mileage;53.0;?
3968;owner;first;first
2284;company;Benelli;Royal-Enfield
1158;kms_driven;21200;?
2194;power;19.0;?
2445;kms_driven;3500;?
254;kms_driven;13000;?
3515;mileage;20.0;?
2350;model_year;2016;2016
1564;model;Classic;?
3756;location;delhi;?
3733;kms_driven;27000;?
3507;power;47.0;?
518;power;19.8;?
1260;location;bangalore;?
3156;model_year;2016;?
2453;company;Hero;?
1913;owner;first;first
2894;power;19.1;?
3865;model;Bullet;?
1761;location;chennai;?
1548;location;lucknow;?
4096;model_year;2016;?
65;kms_driven;15745;?
3410;price;65000;?
