Age;Gender;Country;state;self_employed;family_history;treatment;work_interfere;no_employees;remote_work;tech_company;benefits;care_options;wellness_program;seek_help;anonymity;leave;mental_health_consequence;phys_health_consequence;coworkers;supervisor;mental_health_interview;phys_health_interview;mental_vs_physical;obs_consequence
37;male;United States;NY;Yes;No;No;?;6-25;Yes;Yes;Yes;Yes;Yes;No;Yes;Somewhat easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
29;Male;Netherlands;?;No;Yes;No;?;6-25;No;Yes;No;No;No;No;Don't know;Very easy;No;No;Some of them;Yes;No;Maybe;Yes;No
33;Male;United Kingdom;?;No;No;No;?;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;Maybe;Don't know;No
25;Male;United States;MO;No;Yes;Yes;Never;6-25;Yes;Yes;Don't know;No;Yes;Don't know;Don't know;Don't know;Yes;No;Some of them;Yes;No;No;No;No
21;male;Germany;?;No;No;No;Rarely;6-25;Yes;Yes;Don't know;No;No;No;Don't know;Very easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;No;No
37;m;United Kingdom;?;No;No;Yes;Often;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Yes;No;Yes;Yes;Maybe;Yes;No;No
29;Male;United States;MD;No;No;No;?;6-25;Yes;Yes;Don't know;Not sure;No;No;Don't know;Very easy;No;No;Yes;Yes;No;No;Don't know;No
27;Male;United Kingdom;?;No;No;No;?;6-25;No;Yes;No;No;No;Yes;Yes;Don't know;Maybe;No;Yes;Some of them;No;Yes;Yes;No
32;male;Belgium;?;No;No;No;?;6-25;No;Yes;No;Yes;No;No;Don't know;Very difficult;Yes;Maybe;No;No;No;No;No;No
28;male;Canada;?;No;No;No;?;6-25;No;Yes;Yes;Not sure;No;Don't know;Yes;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
32;Male;Italy;?;No;No;No;?;6-25;No;Yes;No;No;No;No;No;Somewhat difficult;Maybe;No;Some of them;No;Maybe;Maybe;No;No
35;Male;United States;CA;No;Yes;Yes;Rarely;6-25;No;Yes;Yes;Yes;Yes;Yes;Yes;Very easy;No;No;Some of them;Yes;No;No;Yes;No
40;Male;Thailand;?;Yes;No;No;Never;6-25;No;Yes;No;No;No;No;Yes;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
39;Male;Netherlands;?;Yes;No;No;?;6-25;No;Yes;No;No;Yes;No;Yes;Somewhat easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
36;F;United States;CA;No;No;Yes;Never;6-25;Yes;Yes;Yes;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;No;No;No
37;Male;United Kingdom;?;No;Yes;Yes;Rarely;6-25;No;Yes;No;No;No;No;Yes;Somewhat easy;Yes;No;Some of them;Yes;No;Maybe;No;Yes
43;msle;United States;VA;No;No;No;Sometimes;6-25;Yes;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;No;No;No;No;Maybe;No;No
31;Female;United Kingdom;?;No;No;No;?;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Yes;Yes;Maybe;Maybe;Don't know;No
33;Male;United States;WI;No;No;Yes;Sometimes;6-25;Yes;Yes;No;Yes;No;No;Yes;Somewhat difficult;No;No;Yes;Yes;Yes;Yes;Don't know;No
25;Male;United States;CA;No;No;No;?;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;No;No;Some of them;Yes;No;No;Don't know;No
37;female;United States;TX;No;No;Yes;Often;6-25;Yes;Yes;Don't know;Not sure;No;No;Yes;Somewhat difficult;Yes;No;Some of them;Some of them;No;Yes;No;Yes
23;Male;United States;CA;No;Yes;Yes;Sometimes;6-25;No;Yes;No;Yes;No;No;Don't know;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
36;f;United States;CA;No;Yes;No;?;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;No;No;No;Some of them;No;Maybe;Yes;No
29;Male;United Kingdom;?;No;No;No;Never;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;Don't know;No
28;Male;United States;NV;No;No;Yes;Never;6-25;Yes;Yes;No;Yes;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No
26;queer;Germany;?;Yes;No;Yes;Sometimes;6-25;Yes;Yes;No;Not sure;Yes;Yes;Yes;Very easy;No;No;Some of them;Some of them;Maybe;Maybe;Yes;No
29;female;United Kingdom;?;No;No;Yes;Rarely;6-25;No;Yes;Don't know;No;No;No;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;Don't know;No
29;Male;Sweden;?;No;No;Yes;Rarely;6-25;No;Yes;No;Yes;No;No;Yes;Very easy;No;No;Some of them;Yes;No;No;Yes;No
24;female;United States;NY;No;Yes;Yes;Often;6-25;No;Yes;Yes;Yes;No;No;Yes;Very easy;No;No;Some of them;Yes;No;Yes;No;Yes
36;male;United Kingdom;?;Yes;No;No;Sometimes;6-25;Yes;Yes;No;No;No;No;Don't know;Somewhat difficult;No;No;Yes;Yes;No;Maybe;Don't know;Yes
21;Male;United Kingdom;?;No;Yes;No;Never;6-25;No;No;No;No;No;No;Yes;Somewhat easy;Maybe;No;Some of them;Some of them;No;Maybe;Don't know;No
26;Male;Canada;?;No;No;No;Sometimes;6-25;Yes;Yes;No;No;No;No;Don't know;Very difficult;Yes;Maybe;Some of them;Some of them;No;Maybe;Don't know;No
31;Male;United States;?;No;Yes;No;?;6-25;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;No;Don't know;No
24;Male;United States;TN;No;No;No;?;6-25;No;Yes;Don't know;Not sure;Don't know;No;Yes;Somewhat easy;No;No;Some of them;Yes;No;Maybe;Don't know;No
32;male;United Kingdom;?;No;Yes;Yes;Rarely;6-25;No;No;No;No;No;No;No;Don't know;Yes;Maybe;Some of them;No;No;No;No;No
32;male;United Kingdom;?;No;Yes;Yes;Rarely;6-25;No;No;No;No;No;No;No;Don't know;Yes;Maybe;Some of them;No;No;No;No;No
33;Male;United States;TN;No;Yes;Yes;Often;6-25;Yes;Yes;No;Yes;No;No;Don't know;Very difficult;Yes;No;Some of them;Yes;No;Maybe;No;No
34;male;United Kingdom;?;No;No;No;?;6-25;Yes;Yes;No;No;No;No;No;Somewhat difficult;Yes;Maybe;No;No;No;Yes;No;Yes
35;M;United States;DC;No;Yes;Yes;Sometimes;6-25;No;Yes;Yes;Yes;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No
30;m;United States;CA;Yes;Yes;Yes;Sometimes;6-25;Yes;Yes;Don't know;Not sure;No;Don't know;Don't know;Very difficult;Yes;No;No;No;No;Maybe;Don't know;No
31;Male;United Kingdom;?;No;No;Yes;Rarely;6-25;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;No;No;Some of them;Yes;No;No;Don't know;No
42;male;United States;VA;Yes;Yes;No;Sometimes;6-25;Yes;No;Yes;Not sure;Don't know;Yes;Don't know;Don't know;Maybe;Maybe;Some of them;No;No;Maybe;Don't know;No
48;male;Australia;?;No;No;Yes;Sometimes;6-25;No;Yes;No;No;No;No;Don't know;Somewhat easy;Yes;No;Some of them;No;No;Maybe;No;Yes
53;Male;United States;OR;No;No;Yes;Rarely;6-25;Yes;Yes;Yes;Yes;No;Yes;Don't know;Don't know;Maybe;Maybe;Some of them;No;No;No;Don't know;No
24;Female;United Kingdom;?;No;Yes;Yes;Often;6-25;Yes;Yes;No;No;No;No;Don't know;Very easy;No;No;Yes;Yes;No;No;Don't know;No
25;Female;Canada;?;No;Yes;Yes;Sometimes;6-25;No;Yes;Yes;Yes;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;No;No;Don't know;No
28;Male;United States;TN;No;Yes;No;Sometimes;6-25;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Somewhat easy;No;No;Some of them;Yes;No;Yes;Don't know;No
35;Female;United States;GA;No;Yes;Yes;Sometimes;6-25;No;No;Yes;Not sure;Yes;Yes;Yes;Somewhat difficult;Maybe;Maybe;Some of them;Yes;No;Maybe;Yes;No
42;Male;United States;TX;No;No;Yes;Often;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Yes;Maybe;No;No;No;Maybe;Don't know;No
33;Male;Netherlands;?;No;Yes;Yes;?;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;No;No;Yes;Yes;Maybe;Maybe;Yes;Yes
44;male;United States;WA;No;Yes;Yes;Sometimes;6-25;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Somewhat difficult;Maybe;Maybe;Some of them;Yes;No;Maybe;No;No
40;Male;United States;WA;No;Yes;Yes;Sometimes;6-25;No;Yes;Yes;Yes;Don't know;Don't know;Yes;Very easy;Maybe;No;Some of them;Some of them;No;No;Don't know;No
36;Female ;United States;WA;No;Yes;Yes;Rarely;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Yes;Maybe;Some of them;No;No;No;Don't know;No
38;Male;United States;TN;No;No;No;?;6-25;No;Yes;No;No;No;No;Yes;Don't know;Maybe;No;Some of them;Yes;Maybe;Maybe;Don't know;No
32;Male;United Kingdom;?;No;No;No;?;6-25;No;Yes;Don't know;No;No;No;Don't know;Very easy;No;No;No;Yes;No;Maybe;No;No
25;male;Germany;?;Yes;No;No;Sometimes;6-25;Yes;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;Yes;Yes;Yes;No
25;Male;United Kingdom;?;No;No;No;Never;6-25;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Very easy;No;No;Yes;Yes;No;No;Don't know;No
30;Male;United Kingdom;?;Yes;No;Yes;Sometimes;6-25;No;Yes;No;Yes;No;No;No;Very difficult;Yes;Yes;No;No;No;No;Yes;Yes
40;Male;United States;IN;No;Yes;Yes;Rarely;6-25;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Don't know;No;No;Yes;Yes;No;Maybe;Don't know;No
29;Male;Germany;?;No;No;No;?;6-25;No;Yes;Don't know;Not sure;No;No;Don't know;Somewhat easy;No;No;Some of them;Yes;Maybe;Yes;Don't know;No
26;male;Belgium;?;No;No;No;Never;6-25;No;Yes;Yes;No;No;No;No;Somewhat easy;Maybe;No;No;No;No;No;Don't know;No
29;Male;United Kingdom;?;No;No;Yes;Sometimes;6-25;Yes;Yes;No;No;No;No;Don't know;Very easy;No;No;Yes;Yes;No;Yes;Yes;No
28;male;United Kingdom;?;No;No;No;Often;6-25;No;Yes;No;No;No;No;No;Somewhat difficult;Yes;No;No;No;No;Yes;Yes;No
19;Male;United Kingdom;?;No;No;No;?;6-25;No;Yes;Yes;No;No;Yes;Don't know;Very easy;No;No;Yes;Yes;No;No;Yes;No
27;Male;Sweden;?;No;No;No;?;6-25;No;Yes;No;No;No;No;Don't know;Don't know;No;No;No;No;No;No;Don't know;No
25;Male;United States;PA;No;Yes;Yes;Often;6-25;Yes;Yes;Yes;Yes;No;Don't know;Yes;Somewhat easy;No;No;Yes;Yes;Maybe;Maybe;Don't know;No
42;male;United States;IN;No;Yes;Yes;Sometimes;6-25;Yes;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;Yes;No;Maybe;Don't know;No
39;M;United States;IN;No;Yes;Yes;Sometimes;6-25;Yes;Yes;No;Yes;No;No;Yes;Somewhat easy;No;No;Some of them;Yes;Maybe;Yes;Yes;No
26;F;United States;NY;No;No;No;?;6-25;No;Yes;Don't know;Not sure;No;No;Don't know;Somewhat easy;No;No;Yes;Yes;No;Maybe;Yes;No
32;m;United States;TN;No;No;No;Never;6-25;No;Yes;Yes;Yes;Yes;Yes;Don't know;Somewhat easy;No;No;Yes;Yes;No;Maybe;Yes;No
32;Male;United Kingdom;?;No;No;No;?;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Maybe;Maybe;No;No;No;Maybe;Don't know;No
42;M;United States;CA;No;Yes;Yes;Sometimes;6-25;Yes;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No
26;Male;United States;MN;No;Yes;No;?;6-25;No;Yes;Don't know;Not sure;No;No;Don't know;Don't know;No;No;Some of them;Yes;No;No;Yes;No
31;Male;United States;MN;No;Yes;Yes;Rarely;6-25;No;Yes;Don't know;Not sure;Don't know;Don't know;Yes;Don't know;No;No;Yes;Yes;Maybe;Maybe;Yes;No
35;Male;Canada;?;No;Yes;No;Sometimes;6-25;Yes;Yes;No;Yes;No;No;Don't know;Don't know;Maybe;No;No;Some of them;No;No;Don't know;No
35;Male;United States;OR;No;No;No;?;6-25;Yes;Yes;No;No;No;No;Don't know;Don't know;No;No;No;No;No;No;Don't know;No
33;Male;United States;NY;No;No;No;?;6-25;Yes;Yes;Yes;No;Don't know;Yes;Yes;Don't know;No;No;Some of them;Yes;No;No;Yes;No
26;Male;United States;WA;No;No;Yes;Sometimes;6-25;No;Yes;Yes;Yes;No;No;Yes;Don't know;Maybe;No;Some of them;No;No;Maybe;Don't know;No
33;Malr;Italy;?;No;Yes;Yes;Sometimes;6-25;No;Yes;No;Not sure;No;No;Don't know;Somewhat easy;No;No;Some of them;Yes;No;No;Don't know;No
27;Male;United States;CA;No;No;No;Never;6-25;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;Yes;Maybe;Maybe;Don't know;No
33;male;United States;FL;Yes;No;No;Never;6-25;Yes;Yes;Don't know;No;No;No;No;Very easy;Maybe;No;Some of them;Yes;No;Maybe;Yes;No
28;Female;United States;OR;No;No;Yes;Rarely;6-25;No;Yes;Yes;Yes;Don't know;Yes;Yes;Very easy;No;No;Some of them;Some of them;No;Yes;Don't know;No
25;Male;United States;UT;No;No;Yes;Often;6-25;Yes;Yes;Don't know;No;No;No;Don't know;Somewhat easy;Maybe;No;Some of them;No;No;Maybe;Don't know;No
24;male;Germany;?;No;Yes;Yes;Sometimes;6-25;No;Yes;No;No;No;No;Don't know;Somewhat easy;Maybe;No;Yes;Yes;No;No;Don't know;No
25;Male;South Africa;?;No;Yes;Yes;Often;6-25;No;No;Don't know;No;No;No;Yes;Don't know;No;No;Some of them;Yes;No;Maybe;No;Yes
34;M;United States;NJ;No;No;No;Never;6-25;Yes;Yes;Yes;Not sure;Don't know;Don't know;Don't know;Somewhat easy;Maybe;Maybe;No;Some of them;No;Maybe;Don't know;No
39;Female;United States;OH;No;No;Yes;Sometimes;6-25;Yes;Yes;No;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;Maybe;No;No
37;male;Germany;?;No;No;No;?;6-25;No;Yes;Don't know;No;No;No;Yes;Very easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
24;Male;United States;WI;No;Yes;Yes;Rarely;6-25;Yes;Yes;Don't know;No;No;No;Don't know;Very easy;No;No;Yes;Yes;Maybe;Yes;Yes;No
29;Male;United States;NY;No;No;No;?;6-25;Yes;Yes;Yes;Not sure;No;Yes;Don't know;Don't know;Maybe;No;Some of them;Yes;Maybe;Yes;Don't know;No
35;Female;United States;WA;No;Yes;No;Sometimes;6-25;Yes;Yes;Don't know;No;No;No;Don't know;Somewhat easy;No;No;Yes;Some of them;No;No;Yes;No
45;M;United States;CA;No;No;No;Never;6-25;Yes;Yes;Yes;No;No;No;Don't know;Don't know;Yes;Maybe;Some of them;No;No;Maybe;Don't know;No
25;Male;United States;SC;No;No;Yes;Rarely;6-25;Yes;Yes;No;Yes;No;Don't know;Don't know;Somewhat easy;Maybe;No;No;Some of them;No;Maybe;Don't know;No
30;Male;India;?;No;No;No;Often;6-25;No;Yes;No;No;No;No;No;Very easy;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Don't know;No
33;male;Croatia;?;No;Yes;Yes;Sometimes;6-25;Yes;Yes;Yes;Yes;No;Don't know;Yes;Very easy;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
29;M;France;?;No;No;Yes;Often;6-25;No;Yes;Yes;No;No;No;Yes;Somewhat easy;Maybe;Maybe;Yes;Some of them;No;Yes;No;No
37;male;Germany;?;No;No;No;?;6-25;Yes;Yes;No;Not sure;No;No;Don't know;Don't know;Maybe;No;Some of them;No;Maybe;Yes;Don't know;No
46;Male;United States;PA;No;Yes;Yes;Sometimes;6-25;No;Yes;Don't know;Yes;No;Don't know;Don't know;Don't know;Yes;Maybe;No;Some of them;No;Maybe;Don't know;No
35;Male;United States;NY;No;No;No;?;6-25;No;Yes;Don't know;Not sure;Don't know;Don't know;Yes;Don't know;No;No;No;No;No;No;Yes;No
37;Male;Netherlands;?;No;Yes;No;Sometimes;6-25;No;Yes;No;No;No;No;Yes;Somewhat easy;Maybe;No;Some of them;Yes;No;Maybe;Yes;No
41;M;United Kingdom;?;No;Yes;No;?;6-25;No;Yes;No;No;No;No;Don't know;Somewhat difficult;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Don't know;No
23;Male;Germany;?;No;Yes;Yes;Sometimes;6-25;No;Yes;Don't know;Not sure;No;No;Don't know;Somewhat easy;Maybe;No;No;No;No;No;Don't know;No
32;male;United States;NC;No;No;No;Rarely;6-25;No;Yes;Yes;Not sure;No;Don't know;Don't know;Don't know;Maybe;No;No;Some of them;No;Maybe;Don't know;No
26;Male;United Kingdom;?;No;No;No;Never;6-25;No;Yes;No;No;No;No;Don't know;Don't know;Yes;Maybe;Some of them;No;No;Maybe;Don't know;No
32;male;Canada;?;Yes;No;No;Never;6-25;Yes;Yes;Don't know;Not sure;No;No;Don't know;Very easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
31;male;United Kingdom;?;No;Yes;Yes;Never;6-25;No;Yes;Don't know;Not sure;No;Don't know;Don't know;Somewhat easy;No;No;Some of them;Some of them;No;No;Don't know;No
30;m;United States;MN;No;Yes;Yes;Rarely;6-25;No;Yes;No;Yes;No;No;Don't know;Don't know;No;No;No;No;No;No;Don't know;No
26;Male;United States;TX;No;Yes;Yes;Sometimes;6-25;Yes;Yes;Don't know;No;No;Don't know;Don't know;Somewhat easy;Maybe;No;Some of them;Some of them;Maybe;Maybe;Don't know;No
26;Male;Colombia;?;No;No;No;Often;6-25;No;Yes;No;No;No;No;No;Very difficult;Yes;No;No;No;No;Maybe;Yes;No
38;male;United States;NY;No;Yes;No;?;6-25;No;Yes;Don't know;No;No;No;Don't know;Somewhat difficult;No;No;Some of them;Yes;No;No;Don't know;Yes
28;F;United States;VA;No;No;Yes;Often;6-25;No;Yes;No;Yes;No;No;Don't know;Very difficult;Yes;Maybe;Some of them;Some of them;No;No;Don't know;No
40;Male;United States;AL;No;Yes;Yes;Sometimes;6-25;No;Yes;Yes;Yes;No;No;Yes;Don't know;Maybe;No;Some of them;No;No;No;Yes;No
34;male;Ireland;?;No;No;Yes;Often;6-25;No;Yes;No;No;No;No;Don't know;Somewhat difficult;Yes;Maybe;Some of them;Yes;No;Maybe;No;No
28;Female;United States;TX;No;No;Yes;Rarely;6-25;No;Yes;Yes;No;No;No;Don't know;Somewhat easy;Yes;Yes;Some of them;No;No;No;No;Yes
32;male;Ireland;?;No;No;Yes;Sometimes;6-25;No;Yes;No;No;No;No;Don't know;Somewhat easy;No;No;Some of them;Yes;No;Maybe;Don't know;No
28;male;Netherlands;?;No;No;No;?;6-25;No;Yes;No;Not sure;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No
28;male;Netherlands;?;No;No;No;?;6-25;No;Yes;No;Not sure;No;No;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Some of them;No;No;Don't know;No
39;Male;Greece;?;No;No;No;?;6-25;Yes;Yes;No;No;No;No;Yes;Don't know;Yes;No;No;No;No;No;Don't know;No
23;Female;United Kingdom;?;No;Yes;Yes;Sometimes;6-25;No;Yes;No;Yes;No;Yes;Yes;Very easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
24;Cis Man;United Kingdom;?;Yes;No;Yes;Sometimes;6-25;Yes;Yes;No;No;No;No;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;No;Maybe;Don't know;Yes
23;Male;United Kingdom;?;No;No;Yes;Rarely;6-25;No;Yes;No;Yes;No;No;Don't know;Don't know;No;No;Yes;Yes;No;Maybe;Don't know;No
24;ostensibly male, unsure what that really means;United Kingdom;?;No;No;Yes;Sometimes;6-25;No;No;Don't know;No;No;Don't know;Don't know;Don't know;Yes;Maybe;No;No;No;Maybe;Don't know;No
31;Male;Poland;?;Yes;No;Yes;Often;6-25;Yes;Yes;No;No;No;No;Don't know;Somewhat easy;Maybe;No;Some of them;No;No;No;Don't know;No
36;male;Finland;?;No;No;Yes;Often;6-25;No;Yes;No;No;No;No;No;Very difficult;Yes;No;Some of them;No;No;Maybe;Don't know;Yes
31;Male;United States;TX;?;No;No;Never;100-500;Yes;Yes;Yes;No;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Yes;Yes;Yes;Don't know;No
42;Female;United States;IL;?;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Yes;No;No;No;Very difficult;Maybe;No;Yes;Yes;No;Maybe;No;No
29;male;Bulgaria;?;;No;No;Never;100-500;Yes;Yes;Don't know;Not sure;No;No;Don't know;Don't know;No;No;Yes;Yes;Yes;Yes;Don't know;No
29;Male;United States;NY;No;Yes;Yes;Sometimes;100-500;No;Yes;Yes;Yes;No;No;No;Somewhat difficult;Maybe;No;Some of them;Some of them;No;No;No;No
38;Male;Portugal;?;No;No;No;?;100-500;No;Yes;No;Yes;No;No;Don't know;Somewhat easy;Maybe;No;Some of them;Some of them;No;Maybe;No;No
50;M;United States;IN;No;No;No;?;100-500;No;Yes;Yes;Yes;No;Don't know;Don't know;Don't know;No;No;Some of them;Yes;No;Maybe;Don't know;No
33;Male;United States;UT;No;No;No;?;100-500;Yes;Yes;Don't know;Not sure;Don't know;Don't know;Don't know;Don't know;No;No;Some of them;Yes;Maybe;Maybe;Don't know;No
31;M;United States;?;No;No;No;?;100-500;Yes;Yes;Don't know;No;Don't know;Don't know;Don't know;Don't know;Maybe;Maybe;Some of them;Some of them;Maybe;Maybe;Don't know;No
28;M;Switzerland;?;No;No;No;?;100-500;No;Yes;No;No;No;No;Don't know;Don't know;No;No;No;No;No;Maybe;Don't know;No
27;Male;United Kingdom;?;No;No;No;Never;100-500;No;Yes;Yes;Not sure;No;Yes;Don't know;Somewhat easy;No;No;Yes;Yes;Maybe;Maybe;Yes;No
36;M;United States;TX;No;No;No;Sometimes;100-500;Yes;Yes;Yes;No;Don't know;Yes;Don't know;Don't know;Maybe;No;Some of them;Some of them;Maybe;Yes;Yes;No
38;Male;United States;NY;No;Yes;No;Sometimes;100-500;Yes;Yes;Yes;Yes;No;Yes;Don't know;Don't know;No;No;Yes;Some of them;Maybe;Maybe;Yes;No
44;Female;United States;MA;No;No;No;Never;100-500;No;Yes;Yes;Not sure;Don't know;Don't know;Don't know;Don't know;Maybe;Maybe;No;Some of them;No;No;Don't know;No
32;Male;United States;NY;No;No;No;Never;100-500;No;Yes;Yes;Yes;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;Some of them;No;No;Don't know;No
27;Male;Canada;?;No;No;Yes;Never;100-500;No;No;Yes;Not sure;No;No;Don't know;Very difficult;Maybe;No;Some of them;Yes;No;Maybe;No;Yes
32;M;United States;OR;No;No;Yes;Rarely;100-500;No;Yes;Yes;Yes;No;Yes;Yes;Don't know;Yes;No;No;Yes;No;No;Don't know;No
38;Male;United States;OR;No;Yes;Yes;Sometimes;100-500;No;Yes;Don't know;No;Don't know;Don't know;Don't know;Don't know;Maybe;No;Some of them;Yes;No;No;Don't know;No
37;Male;United States;IN;No;Yes;Yes;Rarely;100-500;No;No;Yes;Yes;Yes;Yes;Don't know;Somewhat easy;Maybe;Maybe;Some of them;Yes;Maybe;Maybe;Don't know;No
30;male;Ireland;?;No;No;Yes;Rarely;100-500;No;Yes;No;Yes;Yes;Yes;Don't know;Somewhat easy;Yes;No;Some of them;No;No;No;No;Yes
29;Female;United States;MI;No;No;No;?;100-500;Yes;Yes;Don't know;Not sure;No;Don't know;Don't know;Don't know;Maybe;No;No;Some of them;No;Maybe;Don't know;No
24;Male;United Kingdom;?;No;No;No;Rarely;100-500;No;Yes;Don't know;Not sure;Yes;Don't know;Don't know;Very easy;Maybe;Maybe;Some of them;Some of them;No;Maybe;Don't know;No
28;Male;United Kingdom;?;No;No;No;?;100-500;No;No;No;Not sure;No;Yes;Yes;Somewhat easy;No;No;Some of them;Some of them;Maybe;Maybe;Yes;No
32;female;Germany;?;No;No;No;Sometimes;100-500;No;Yes;No;No;No;No;Don't know;Very difficult;Yes;Yes;Some of them;No;No;No;No;Yes
34;male;Austria;?;No;Yes;No;?;100-500;Yes;Yes;Don't know;No;Don't know;Don't know;Don't know;Very easy;No;No;Yes;Yes;No;No;Yes;No
32;Male;United Kingdom;?;No;Yes;Yes;Sometimes;100-500;Yes;Yes;Don't know;Not sure;No;No;Don't know;Somewhat difficult;Yes;Maybe;No;No;No;No;No;Yes
26;male;Bulgaria;?;No;No;No;?;100-500;No;Yes;No;No;No;No;No;Very easy;Yes;Maybe;No;No;No;Maybe;Don't know;No
32;f;United States;MA;No;No;Yes;Sometimes;100-500;No;No;Yes;Yes;Don't know;Don't know;Yes;Very easy;No;No;Yes;Yes;No;Yes;Yes;No
28;Male;United States;GA;No;Yes;No;?;100-500;No;Yes;Yes;No;No;Don't know;Yes;Somewhat easy;No;No;Some of them;Yes;No;Maybe;Yes;Yes
31;male;United States;CA;No;Yes;Yes;Rarely;100-500;Yes;Yes;Yes;Yes;Yes;Don't know;Yes;Very easy;No;No;Some of them;Yes;No;Maybe;Yes;No
27;Male;United Kingdom;?;No;No;No;?;100-500;No;No;Don't know;Not sure;Don't know;Don't know;No;Very easy;Maybe;Maybe;Yes;Yes;No;No;Don't know;No
30;Male;United States;FL;No;No;Yes;Sometimes;100-500;Yes;Yes;Yes;Yes;No;Yes;Yes;Don't know;No;No;Yes;Yes;Maybe;No;Yes;No
23;female;United States;MN;No;Yes;Yes;Never;100-500;No;No;Yes;No;Don't know;Don't know;Yes;Don't know;No;No;Some of them;Yes;Maybe;Maybe;Yes;No
33;Male;Canada;?;No;No;No;?;100-500;No;Yes;Yes;No;Yes;Yes;Yes;Don't know;No;No;Some of them;Yes;No;No;Don't know;No
28;male;United States;MN;No;No;Yes;Rarely;100-500;No;No;Yes;Yes;Yes;Don't know;Don't know;Very easy;Maybe;No;Some of them;Some of them;No;No;Yes;No
23;Male;United States;PA;No;Yes;No;Sometimes;100-500;No;Yes;Don't know;No;No;Don't know;Don't know;Don't know;Maybe;No;Some of them;No;No;Maybe;No;No
25;Male;Canada;?;No;No;No;?;100-500;No;No;Don't know;Not sure;No;No;Don't know;Don't know;No;No;Some of them;Some of them;No;Yes;No;No
26;Male;United States;MA;No;No;No;Rarely;100-500;No;Yes;Yes;Not sure;No;Don't know;Don't know;Don't know;No;No;Some of them;Yes;No;Maybe;Don't know;No
28;female;United States;WA;No;Yes;Yes;Often;100-500;Yes;No;Yes;Yes;Yes;Yes;Yes;Somewhat easy;Yes;No;Some of them;Yes;No;No;Yes;No
27;Male;United States;TN;No;No;No;Sometimes;100-500;No;Yes;Yes;Not sure;Yes;Yes;Don't know;Don't know;Maybe;No;Some of them;Yes;No;Maybe;Don't know;No
35;male;United States;OR;No;No;Yes;Rarely;100-500;No;Yes;Yes;Not sure;Don't know;Yes;Don't know;Don't know;No;No;Some of them;Yes;No;No;Don't know;No
29;M;United States;NY;No;No;No;?;100-500;No;No;Don't know;Not sure;No;Don't know;Don't know;Don't know;Maybe;No;No;No;No;Maybe;Don't know;No
